Function                                             CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Overhead Time  Instructions Retired  Microarchitecture Usage(%)  Microarchitecture Usage:Microarchitecture Usage(%)  Microarchitecture Usage:CPI Rate  Module                                 Function (Full)                                                                                                                               Source File                      Start Address
func@0x14280                                               0s                       0s                  0s                      0s             3,300,000                       12.5%                                               12.5%                             0.000  libdbus-1.so.3.32.4                    func@0x14280                                                                                                                                  [Unknown]                        0x14280      
func@0x1464e40                                             0s                       0s                  0s                      0s             6,600,000                                                                                                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1464e40                                                                                                                                [Unknown]                        0x1464e40    
func@0x14ed0                                               0s                       0s                  0s                      0s             6,600,000                        0.0%                                                0.0%                             0.000  libdbus-1.so.3.32.4                    func@0x14ed0                                                                                                                                  [Unknown]                        0x14ed0      
func@0x151ec0                                              0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             5.000  libSDL2-2.0.so.0.3000.0                func@0x151ec0                                                                                                                                 [Unknown]                        0x151ec0     
func@0x15b2a0                                              0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x15b2a0                                                                                                                                 [Unknown]                        0x15b2a0     
func@0x15bda0                                              0s                       0s                  0s                      0s             3,300,000                        7.7%                                                7.7%                             1.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x15bda0                                                                                                                                 [Unknown]                        0x15bda0     
func@0x162270                                              0s                       0s                  0s                      0s             6,600,000                        0.0%                                                0.0%                             3.500  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x162270                                                                                                                                 [Unknown]                        0x162270     
func@0x168a120                                             0s                       0s                  0s                      0s             3,300,000                       16.7%                                               16.7%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x168a120                                                                                                                                [Unknown]                        0x168a120    
func@0x168e090                                             0s                       0s                  0s                      0s                     0                        6.7%                                                6.7%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x168e090                                                                                                                                [Unknown]                        0x168e090    
func@0x1690180                                             0s                       0s                  0s                      0s                     0                       25.0%                                               25.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1690180                                                                                                                                [Unknown]                        0x1690180    
func@0x1690590                                             0s                       0s                  0s                      0s                     0                        8.3%                                                8.3%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1690590                                                                                                                                [Unknown]                        0x1690590    
func@0x16918a0                                             0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             2.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x16918a0                                                                                                                                [Unknown]                        0x16918a0    
func@0x1691f0                                              0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1691f0                                                                                                                                 [Unknown]                        0x1691f0     
func@0x1691f40                                             0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1691f40                                                                                                                                [Unknown]                        0x1691f40    
func@0x1692840                                             0s                       0s                  0s                      0s             3,300,000                      100.0%                                              100.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1692840                                                                                                                                [Unknown]                        0x1692840    
func@0x1692a10                                             0s                       0s                  0s                      0s                     0                       16.7%                                               16.7%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1692a10                                                                                                                                [Unknown]                        0x1692a10    
func@0x16aec50                                             0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x16aec50                                                                                                                                [Unknown]                        0x16aec50    
func@0x176bc0                                              0s                       0s                  0s                      0s                     0                       50.0%                                               50.0%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x176bc0                                                                                                                                 [Unknown]                        0x176bc0     
func@0x17930                                               0s                       0s                  0s                      0s                     0                        4.0%                                                4.0%                             0.000  libGLX.so.0.0.0                        func@0x17930                                                                                                                                  [Unknown]                        0x17930      
func@0x18720                                               0s                       0s                  0s                      0s                     0                      100.0%                                              100.0%                             0.000  libexpat.so.1.9.1                      func@0x18720                                                                                                                                  [Unknown]                        0x18720      
func@0x18c930                                              0s                       0s                  0s                      0s             6,600,000                        5.4%                                                5.4%                             1.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x18c930                                                                                                                                 [Unknown]                        0x18c930     
func@0x192a40                                              0s                       0s                  0s                      0s             3,300,000                        5.0%                                                5.0%                             4.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x192a40                                                                                                                                 [Unknown]                        0x192a40     
func@0x197c10                                              0s                       0s                  0s                      0s             6,600,000                       25.0%                                               25.0%                             0.500  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x197c10                                                                                                                                 [Unknown]                        0x197c10     
func@0x198aa0                                              0s                       0s                  0s                      0s             6,600,000                        7.1%                                                7.1%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x198aa0                                                                                                                                 [Unknown]                        0x198aa0     
func@0x198ff0                                              0s                       0s                  0s                      0s             6,600,000                       27.3%                                               27.3%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x198ff0                                                                                                                                 [Unknown]                        0x198ff0     
func@0x199590                                              0s                       0s                  0s                      0s                     0                       20.0%                                               20.0%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x199590                                                                                                                                 [Unknown]                        0x199590     
func@0x199ec0                                              0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             1.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x199ec0                                                                                                                                 [Unknown]                        0x199ec0     
func@0x1a080                                               0s                       0s                  0s                      0s                     0                       50.0%                                               50.0%                             0.000  libX11.so.6.4.0                        func@0x1a080                                                                                                                                  [Unknown]                        0x1a080      
func@0x1a23f0                                              0s                       0s                  0s                      0s             6,600,000                        0.0%                                                0.0%                             0.500  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1a23f0                                                                                                                                 [Unknown]                        0x1a23f0     
func@0x1ace0                                               0s                       0s                  0s                      0s                     0                        8.3%                                                8.3%                             0.000  libGLX_mesa.so.0.0.0                   func@0x1ace0                                                                                                                                  [Unknown]                        0x1ace0      
func@0x1bb800                                              0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             1.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1bb800                                                                                                                                 [Unknown]                        0x1bb800     
func@0x1d2460                                              0s                       0s                  0s                      0s                     0                       50.0%                                               50.0%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1d2460                                                                                                                                 [Unknown]                        0x1d2460     
func@0x1d2500                                              0s                       0s                  0s                      0s                     0                       50.0%                                               50.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x1d2500                                                                                                                                 [Unknown]                        0x1d2500     
func@0x2187a0                                              0s                       0s                  0s                      0s             3,300,000                        6.2%                                                6.2%                             2.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x2187a0                                                                                                                                 [Unknown]                        0x2187a0     
func@0x23c0                                                0s                       0s                  0s                      0s             3,300,000                      100.0%                                              100.0%                             0.000  libXcursor.so.1.0.2                    func@0x23c0                                                                                                                                   [Unknown]                        0x23c0       
func@0x264ad0                                              0s                       0s                  0s                      0s             3,300,000                       12.5%                                               12.5%                             1.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x264ad0                                                                                                                                 [Unknown]                        0x264ad0     
func@0x28500                                               0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libc.so.6                              func@0x28500                                                                                                                                  [Unknown]                        0x28500      
func@0x28590                                               0s                       0s                  0s                      0s             6,600,000                        0.0%                                                0.0%                             1.000  libc.so.6                              func@0x28590                                                                                                                                  [Unknown]                        0x28590      
func@0x286b0                                               0s                       0s                  0s                      0s                     0                       16.7%                                               16.7%                                    libc.so.6                              func@0x286b0                                                                                                                                  [Unknown]                        0x286b0      
func@0x2890                                                0s                       0s                  0s                      0s            16,500,000                       50.0%                                               50.0%                             0.400  libXcursor.so.1.0.2                    func@0x2890                                                                                                                                   [Unknown]                        0x2890       
func@0x2d290                                               0s                       0s                  0s                      0s                     0                       33.3%                                               33.3%                             0.000  libdbus-1.so.3.32.4                    func@0x2d290                                                                                                                                  [Unknown]                        0x2d290      
func@0x2d6340                                              0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             1.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x2d6340                                                                                                                                 [Unknown]                        0x2d6340     
func@0x2da90                                               0s                       0s                  0s                      0s                     0                       20.0%                                               20.0%                                    libdbus-1.so.3.32.4                    func@0x2da90                                                                                                                                  [Unknown]                        0x2da90      
func@0x2ef30                                               0s                       0s                  0s                      0s             3,300,000                       11.1%                                               11.1%                             3.000  libdbus-1.so.3.32.4                    func@0x2ef30                                                                                                                                  [Unknown]                        0x2ef30      
func@0x2f10                                                0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libXcursor.so.1.0.2                    func@0x2f10                                                                                                                                   [Unknown]                        0x2f10       
func@0x31000                                               0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libdbus-1.so.3.32.4                    func@0x31000                                                                                                                                  [Unknown]                        0x31000      
func@0x320e0                                               0s                       0s                  0s                      0s                     0                       22.2%                                               22.2%                             0.000  libSDL2-2.0.so.0.3000.0                func@0x320e0                                                                                                                                  [Unknown]                        0x320e0      
func@0x347180                                              0s                       0s                  0s                      0s                     0                       25.0%                                               25.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x347180                                                                                                                                 [Unknown]                        0x347180     
func@0x348770                                              0s                       0s                  0s                      0s             6,600,000                       18.2%                                               18.2%                             1.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x348770                                                                                                                                 [Unknown]                        0x348770     
func@0x34c500                                              0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x34c500                                                                                                                                 [Unknown]                        0x34c500     
func@0x3d92c0                                              0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x3d92c0                                                                                                                                 [Unknown]                        0x3d92c0     
func@0x3f5ce0                                              0s                       0s                  0s                      0s                     0                       33.3%                                               33.3%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x3f5ce0                                                                                                                                 [Unknown]                        0x3f5ce0     
func@0x3f6af0                                              0s                       0s                  0s                      0s                     0                        4.8%                                                4.8%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x3f6af0                                                                                                                                 [Unknown]                        0x3f6af0     
func@0x40a00                                               0s                       0s                  0s                      0s             3,300,000                       20.0%                                               20.0%                             0.000  libX11.so.6.4.0                        func@0x40a00                                                                                                                                  [Unknown]                        0x40a00      
func@0x40da0                                               0s                       0s                  0s                      0s                     0                       40.0%                                               40.0%                                    libX11.so.6.4.0                        func@0x40da0                                                                                                                                  [Unknown]                        0x40da0      
func@0x4276f0                                              0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             1.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x4276f0                                                                                                                                 [Unknown]                        0x4276f0     
func@0x432f30                                              0s                       0s                  0s                      0s             3,300,000                       13.6%                                               13.6%                             3.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x432f30                                                                                                                                 [Unknown]                        0x432f30     
func@0x4347b0                                              0s                       0s                  0s                      0s             3,300,000                       37.5%                                               37.5%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x4347b0                                                                                                                                 [Unknown]                        0x4347b0     
func@0x465a0                                               0s                       0s                  0s                      0s                     0                       25.0%                                               25.0%                                    libGLdispatch.so.0.0.0                 func@0x465a0                                                                                                                                  [Unknown]                        0x465a0      
func@0x4871c0                                              0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x4871c0                                                                                                                                 [Unknown]                        0x4871c0     
func@0x4f15                                                0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libXcursor.so.1.0.2                    func@0x4f15                                                                                                                                   [Unknown]                        0x4f15       
func@0x51a90                                               0s                       0s                  0s                      0s                     0                       16.7%                                               16.7%                             0.000  libGLX_mesa.so.0.0.0                   func@0x51a90                                                                                                                                  [Unknown]                        0x51a90      
func@0x52710                                               0s                       0s                  0s                      0s                     0                        7.1%                                                7.1%                             0.000  libSDL2-2.0.so.0.3000.0                func@0x52710                                                                                                                                  [Unknown]                        0x52710      
func@0x52b00                                               0s                       0s                  0s                      0s                     0                       10.0%                                               10.0%                             0.000  libGLX_mesa.so.0.0.0                   func@0x52b00                                                                                                                                  [Unknown]                        0x52b00      
func@0x563b0                                               0s                       0s                  0s                      0s                     0                        5.3%                                                5.3%                             0.000  libSDL2-2.0.so.0.3000.0                func@0x563b0                                                                                                                                  [Unknown]                        0x563b0      
func@0x56d70                                               0s                       0s                  0s                      0s             3,300,000                      100.0%                                              100.0%                             1.000  libX11.so.6.4.0                        func@0x56d70                                                                                                                                  [Unknown]                        0x56d70      
func@0x588680                                              0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x588680                                                                                                                                 [Unknown]                        0x588680     
func@0x58a0                                                0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libexpat.so.1.9.1                      func@0x58a0                                                                                                                                   [Unknown]                        0x58a0       
func@0x5be0                                                0s                       0s                  0s                      0s                     0                      100.0%                                              100.0%                             0.000  scene_tile_test                        func@0x5be0                                                                                                                                   [Unknown]                        0x5be0       
func@0x5ce0                                                0s                       0s                  0s                      0s                     0                      100.0%                                              100.0%                             0.000  scene_tile_test                        func@0x5ce0                                                                                                                                   [Unknown]                        0x5ce0       
func@0x5d260                                               0s                       0s                  0s                      0s             3,300,000                       16.7%                                               16.7%                             0.000  libGLdispatch.so.0.0.0                 func@0x5d260                                                                                                                                  [Unknown]                        0x5d260      
func@0x6060                                                0s                       0s                  0s                      0s             3,300,000                       66.7%                                               66.7%                             0.000  scene_tile_test                        func@0x6060                                                                                                                                   [Unknown]                        0x6060       
func@0x637170                                              0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x637170                                                                                                                                 [Unknown]                        0x637170     
func@0x6520                                                0s                       0s                  0s                      0s             3,300,000                                                                                                             0.000  libexpat.so.1.9.1                      func@0x6520                                                                                                                                   [Unknown]                        0x6520       
func@0x66a80                                               0s                       0s                  0s                      0s             6,600,000                        0.0%                                                0.0%                             0.000  libSDL2-2.0.so.0.3000.0                func@0x66a80                                                                                                                                  [Unknown]                        0x66a80      
func@0x6a160                                               0s                       0s                  0s                      0s                     0                        9.1%                                                9.1%                                    libSDL2-2.0.so.0.3000.0                func@0x6a160                                                                                                                                  [Unknown]                        0x6a160      
func@0x6a370                                               0s                       0s                  0s                      0s             6,600,000                      100.0%                                              100.0%                             1.000  libX11.so.6.4.0                        func@0x6a370                                                                                                                                  [Unknown]                        0x6a370      
func@0x6b4bb0                                              0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x6b4bb0                                                                                                                                 [Unknown]                        0x6b4bb0     
func@0x707e0                                               0s                       0s                  0s                      0s                     0                        4.5%                                                4.5%                                    libSDL2-2.0.so.0.3000.0                func@0x707e0                                                                                                                                  [Unknown]                        0x707e0      
func@0x710e30                                              0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x710e30                                                                                                                                 [Unknown]                        0x710e30     
func@0x710ec0                                              0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x710ec0                                                                                                                                 [Unknown]                        0x710ec0     
func@0x712a10                                              0s                       0s                  0s                      0s             6,600,000                        0.0%                                                0.0%                             2.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x712a10                                                                                                                                 [Unknown]                        0x712a10     
func@0x714120                                              0s                       0s                  0s                      0s                     0                       33.3%                                               33.3%                                    libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x714120                                                                                                                                 [Unknown]                        0x714120     
func@0x7169f0                                              0s                       0s                  0s                      0s             6,600,000                       60.0%                                               60.0%                             0.500  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x7169f0                                                                                                                                 [Unknown]                        0x7169f0     
func@0x73100                                               0s                       0s                  0s                      0s                     0                        9.1%                                                9.1%                                    libSDL2-2.0.so.0.3000.0                func@0x73100                                                                                                                                  [Unknown]                        0x73100      
func@0x74280                                               0s                       0s                  0s                      0s                     0                       11.1%                                               11.1%                             0.000  libSDL2-2.0.so.0.3000.0                func@0x74280                                                                                                                                  [Unknown]                        0x74280      
func@0x75dd0                                               0s                       0s                  0s                      0s                     0                       16.7%                                               16.7%                                    libSDL2-2.0.so.0.3000.0                func@0x75dd0                                                                                                                                  [Unknown]                        0x75dd0      
func@0x76c0                                                0s                       0s                  0s                      0s             6,600,000                        0.0%                                                0.0%                             0.500  libexpat.so.1.9.1                      func@0x76c0                                                                                                                                   [Unknown]                        0x76c0       
func@0x76eb0                                               0s                       0s                  0s                      0s             3,300,000                                                                                                             0.000  libzstd.so.1.5.5                       func@0x76eb0                                                                                                                                  [Unknown]                        0x76eb0      
func@0x77ae0                                               0s                       0s                  0s                      0s                     0                       25.0%                                               25.0%                                    libSDL2-2.0.so.0.3000.0                func@0x77ae0                                                                                                                                  [Unknown]                        0x77ae0      
func@0x7c6040                                              0s                       0s                  0s                      0s             3,300,000                        0.0%                                                0.0%                             0.000  libgallium-24.2.8-1ubuntu1~24.04.1.so  func@0x7c6040                                                                                                                                 [Unknown]                        0x7c6040     
